,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,region
90937,1800.0,1500.0,3.0,1.0,0,0,0,0,0,0,w/d in unit,unknown,41.8984,-87.6895,9.0
90938,1250.0,1100.0,2.0,1.0,0,0,0,0,0,0,laundry in bldg,street parking,41.9768,-87.6992,0.0
90940,1500.0,800.0,2.0,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,41.8693,-87.6632,4.0
90941,2000.0,2000.0,3.0,2.0,0,0,0,0,0,0,laundry in bldg,detached garage,41.8011,-87.6057,7.0
90953,2300.0,1555.0,3.0,2.5,1,1,0,0,0,0,w/d in unit,carport,41.9391,-87.7163,3.0
90956,1370.0,550.0,0.0,1.0,0,0,1,0,0,0,laundry in bldg,attached garage,41.91,-87.6316,1.0
90970,3246.0,750.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9039,-87.6346,1.0
90971,2480.0,615.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9039,-87.6346,1.0
90972,2218.0,515.0,0.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9039,-87.6346,1.0
90974,1700.0,1500.0,2.0,1.0,1,0,1,0,0,0,laundry on site,off-street parking,42.0046,-87.6646,6.0
90976,1750.0,1200.0,2.0,1.0,1,1,0,0,0,0,laundry on site,detached garage,41.9326,-87.7209,3.0
90977,1150.0,1000.0,2.0,1.0,1,1,0,0,0,0,laundry in bldg,detached garage,41.9326,-87.7209,3.0
90980,2075.0,750.0,1.0,1.0,0,0,0,1,0,0,w/d in unit,valet parking,41.8877,-87.6282,1.0
90983,1875.0,1600.0,2.0,1.0,1,0,0,0,0,0,w/d in unit,detached garage,41.9377,-87.7149,3.0
90987,2200.0,700.0,1.0,1.0,0,0,0,0,0,1,w/d in unit,no parking,41.8767,-87.64399999999998,4.0
90994,2750.0,1460.0,2.0,2.5,0,0,1,0,0,0,unknown,unknown,41.8668,-87.6241,4.0
90996,910.0,700.0,1.0,1.0,1,0,1,0,0,0,laundry in bldg,unknown,41.962,-87.7206,8.0
90998,1800.0,1200.0,2.0,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,41.9209,-87.7043,3.0
91001,890.0,850.0,1.0,1.0,1,1,1,0,0,0,no laundry on site,street parking,41.7771,-87.70200000000001,2.0
91003,1798.0,600.0,0.0,1.0,1,1,1,0,0,0,unknown,attached garage,41.887,-87.6264,1.0
91011,2195.0,1100.0,2.0,2.0,0,0,1,0,0,0,w/d in unit,street parking,41.9398,-87.6567,5.0
91013,2800.0,2000.0,3.0,2.5,0,0,0,0,0,0,w/d in unit,carport,41.9399,-87.6528,5.0
91016,1500.0,1200.0,2.0,1.0,1,1,1,0,0,0,laundry in bldg,street parking,41.949,-87.7031,0.0
91018,1664.0,607.0,0.0,1.0,1,1,1,0,0,0,unknown,attached garage,41.8923,-87.6373,1.0
91019,1603.0,508.0,0.0,1.0,1,1,1,0,0,0,unknown,attached garage,41.9033,-87.6336,1.0
91025,850.0,750.0,2.0,1.0,0,0,0,0,0,0,laundry in bldg,street parking,41.8093,-87.7052,2.0
91027,980.0,700.0,1.0,1.0,1,0,1,0,0,0,w/d in unit,street parking,41.9972,-87.7166,6.0
91033,1500.0,650.0,1.0,1.0,0,0,0,0,0,1,laundry in bldg,street parking,41.938,-87.6565,5.0
91034,1800.0,1250.0,2.0,1.0,0,0,0,0,0,1,laundry in bldg,street parking,41.9381,-87.6565,5.0
91035,1600.0,1400.0,3.0,1.5,0,0,0,0,0,0,laundry in bldg,street parking,41.9699,-87.7603,8.0
91037,1100.0,800.0,2.0,1.0,0,0,0,1,0,0,laundry in bldg,off-street parking,41.6743,-87.7107,10.0
91044,1500.0,800.0,2.0,1.0,0,0,0,0,0,0,laundry in bldg,off-street parking,41.8693,-87.6632,4.0
91045,3225.0,830.0,1.0,1.0,1,1,0,1,0,0,w/d in unit,attached garage,41.9039,-87.6346,1.0
91050,1125.0,1000.0,1.0,1.0,1,1,1,0,0,0,unknown,unknown,42.0027,-87.6709,6.0
91052,1660.0,585.0,1.0,1.0,1,0,1,0,0,1,laundry in bldg,no parking,41.9019,-87.6301,1.0
91062,1235.0,1100.0,1.0,1.0,1,1,1,0,0,0,laundry in bldg,off-street parking,41.9477,-87.6436,5.0
91064,1175.0,650.0,1.0,1.0,1,1,0,0,0,0,w/d in unit,street parking,42.0067,-87.6718,6.0
91066,450.0,700.0,1.0,1.0,0,0,0,0,0,1,laundry in bldg,street parking,41.8079,-87.6417,7.0
91067,2000.0,751.0,1.0,1.0,1,1,0,1,0,1,w/d in unit,attached garage,41.877,-87.6243,4.0
91068,1725.0,1200.0,2.0,2.0,1,1,0,0,0,0,w/d in unit,detached garage,42.0079,-87.6709,6.0
91069,2745.0,1517.0,3.0,2.5,1,1,0,0,0,0,w/d in unit,attached garage,41.8657,-87.6242,4.0
