,0,1,2,3
158,41.8272,-87.6367,1450.0,7.0
159,41.8272,-87.6367,1450.0,7.0
160,41.9031,-87.6301,1792.0,1.0
161,41.947,-87.6783,1725.0,0.0
162,41.9506,-87.6667,1400.0,5.0
163,41.9509,-87.6784,1560.0,0.0
164,41.9782,-87.6657,1650.0,0.0
165,41.9464,-87.7042,1200.0,3.0
166,41.8713,-87.6277,2318.0,4.0
167,41.9033,-87.6336,1806.0,1.0
168,41.9033,-87.6336,1670.0,1.0
169,41.9229,-87.6483,2750.0,5.0
170,41.8814,-87.64299999999999,2431.0,4.0
171,41.8724,-87.6626,1750.0,4.0
172,41.903,-87.7002,1700.0,3.0
173,41.9345,-87.6517,1295.0,5.0
174,41.8947,-87.6416,2174.0,1.0
175,41.9115,-87.6348,2200.0,1.0
176,41.9462,-87.6422,3350.0,5.0
177,41.8465,-87.7637,1200.0,2.0
178,41.9085,-87.6495,1977.0,1.0
179,41.9399,-87.6528,1625.0,5.0
180,41.9033,-87.6336,1650.0,1.0
181,41.9209,-87.7043,1395.0,3.0
182,41.9543,-87.6575,1350.0,5.0
183,41.9033,-87.6336,1575.0,1.0
184,41.8967,-87.6796,2100.0,9.0
185,41.9052,-87.6646,1295.0,9.0
186,41.9307,-87.6625,2750.0,5.0
187,41.8923,-87.6373,2850.0,1.0
188,41.9756,-87.6553,1225.0,0.0
189,41.9206,-87.7017,1650.0,3.0
190,41.9699,-87.7603,1600.0,8.0
191,41.8196,-87.6126,1850.0,7.0
192,41.9537,-87.6548,1575.0,5.0
193,41.8984,-87.6895,1800.0,9.0
194,41.8943,-87.6657,3000.0,9.0
195,41.9102,-87.697,1800.0,3.0
196,41.9058,-87.6971,1600.0,3.0
197,41.9537,-87.6548,2350.0,5.0
198,41.7484,-87.5491,850.0,11.0
199,41.9544,-87.6922,2000.0,0.0
200,41.8595,-87.6577,995.0,4.0
201,42.0086,-87.6947,1250.0,6.0
202,41.9745,-87.6652,2950.0,0.0
203,41.9079,-87.6303,1375.0,1.0
204,42.0079,-87.6709,1725.0,6.0
205,41.899,-87.6835,1300.0,9.0
206,41.9719,-87.6624,1550.0,0.0
207,41.8845,-87.631,3170.0,1.0
208,41.8845,-87.634,2315.0,1.0
209,41.8845,-87.634,1880.0,1.0
210,42.0151,-87.6825,1800.0,6.0
211,41.9701,-87.7434,1300.0,8.0
212,41.9272,-87.6513,2400.0,5.0
213,41.8851,-87.6246,2390.0,1.0
214,41.9356,-87.7748,1200.0,8.0
215,41.7781,-87.7069,1150.0,2.0
216,41.8574,-87.6548,1000.0,4.0
217,41.7988,-87.7431,900.0,2.0
218,41.8974,-87.6894,1850.0,9.0
